"","geneSymbol","tumorType","posN_unique","posNMatched_unique","protLength","mutRate","matchRate"
"1","AARS","BLCA",2,0,968,0.00206611570247934,0
"2","AARS","BRCA",9,0,968,0.00929752066115703,0
"3","AARS","CELLLINE",4,0,968,0.00413223140495868,0
"4","AARS","CESC",2,0,968,0.00206611570247934,0
"5","AARS","COAD/READ",8,0,968,0.00826446280991736,0
"6","AARS","ESCA",2,0,968,0.00206611570247934,0
"7","AARS","GBM",1,0,968,0.00103305785123967,0
"8","AARS","HNSC",2,0,968,0.00206611570247934,0
"9","AARS","KIRC",1,0,968,0.00103305785123967,0
"10","AARS","KIRP",2,0,968,0.00206611570247934,0
"11","AARS","LIHC",2,0,968,0.00206611570247934,0
"12","AARS","LUAD",5,1,968,0.00516528925619835,0.2
"13","AARS","LUSC",3,0,968,0.00309917355371901,0
"14","AARS","OV",1,0,968,0.00103305785123967,0
"15","AARS","PAAD",1,0,968,0.00103305785123967,0
"16","AARS","PRAD",3,0,968,0.00309917355371901,0
"17","AARS","SKCM",8,0,968,0.00826446280991736,0
"18","AARS","STAD",4,1,968,0.00413223140495868,0.25
"19","AARS","UCEC",7,0,968,0.00723140495867769,0
"20","AARS","UCS",1,0,968,0.00103305785123967,0
"21","ABCA1","ACC",1,0,2261,0.000442282176028306,0
"22","ABCA1","BLCA",6,0,2261,0.00265369305616984,0
"23","ABCA1","BRCA",14,1,2261,0.00619195046439629,0.0714285714285714
"24","ABCA1","CELLLINE",5,0,2261,0.00221141088014153,0
"25","ABCA1","CESC",1,0,2261,0.000442282176028306,0
"26","ABCA1","COAD/READ",29,1,2261,0.0128261831048209,0.0344827586206897
"27","ABCA1","ESCA",3,1,2261,0.00132684652808492,0.333333333333333
"28","ABCA1","GBM",1,0,2261,0.000442282176028306,0
"29","ABCA1","HNSC",7,1,2261,0.00309597523219814,0.142857142857143
"30","ABCA1","KICH",1,0,2261,0.000442282176028306,0
"31","ABCA1","KIRC",8,0,2261,0.00353825740822645,0
"32","ABCA1","KIRP",6,0,2261,0.00265369305616984,0
"33","ABCA1","LGG",2,0,2261,0.000884564352056612,0
"34","ABCA1","LIHC",7,0,2261,0.00309597523219814,0
"35","ABCA1","LUAD",21,0,2261,0.00928792569659443,0
"36","ABCA1","LUSC",10,0,2261,0.00442282176028306,0
"37","ABCA1","MBL",1,1,2261,0.000442282176028306,1
"38","ABCA1","MM",1,0,2261,0.000442282176028306,0
"39","ABCA1","OV",5,0,2261,0.00221141088014153,0
"40","ABCA1","PAAD",5,0,2261,0.00221141088014153,0
"41","ABCA1","PRAD",4,0,2261,0.00176912870411322,0
"42","ABCA1","SCLC",6,0,2261,0.00265369305616984,0
"43","ABCA1","SKCM",24,0,2261,0.0106147722246793,0
"44","ABCA1","STAD",12,0,2261,0.00530738611233967,0
"45","ABCA1","THCA",1,0,2261,0.000442282176028306,0
"46","ABCA1","UCEC",29,1,2261,0.0128261831048209,0.0344827586206897
"47","ABCA1","UCS",3,0,2261,0.00132684652808492,0
"48","ABCA12","ACC",3,0,2595,0.00115606936416185,0
"49","ABCA12","BLCA",7,0,2595,0.00269749518304432,0
"50","ABCA12","BRCA",15,0,2595,0.00578034682080925,0
"51","ABCA12","CELLLINE",9,0,2595,0.00346820809248555,0
"52","ABCA12","CESC",4,0,2595,0.00154142581888247,0
"53","ABCA12","COAD/READ",44,1,2595,0.0169556840077071,0.0227272727272727
"54","ABCA12","ESCA",11,0,2595,0.00423892100192678,0
"55","ABCA12","GBM",1,0,2595,0.000385356454720617,0
"56","ABCA12","HNSC",14,1,2595,0.00539499036608863,0.0714285714285714
"57","ABCA12","KICH",2,0,2595,0.000770712909441233,0
"58","ABCA12","KIRC",7,0,2595,0.00269749518304432,0
"59","ABCA12","KIRP",10,0,2595,0.00385356454720617,0
"60","ABCA12","LGG",1,0,2595,0.000385356454720617,0
"61","ABCA12","LIHC",2,0,2595,0.000770712909441233,0
"62","ABCA12","LUAD",45,1,2595,0.0173410404624277,0.0222222222222222
"63","ABCA12","LUSC",9,0,2595,0.00346820809248555,0
"64","ABCA12","MM",3,0,2595,0.00115606936416185,0
"65","ABCA12","OV",7,0,2595,0.00269749518304432,0
"66","ABCA12","PAAD",15,0,2595,0.00578034682080925,0
"67","ABCA12","PRAD",7,0,2595,0.00269749518304432,0
"68","ABCA12","SCLC",6,0,2595,0.0023121387283237,0
"69","ABCA12","SKCM",103,0,2595,0.0396917148362235,0
"70","ABCA12","STAD",25,0,2595,0.00963391136801541,0
"71","ABCA12","UCEC",51,1,2595,0.0196531791907514,0.0196078431372549
"72","ABCA12","UCS",5,0,2595,0.00192678227360308,0
"73","ABCA4","BLCA",3,0,2273,0.00131984161900572,0
"74","ABCA4","BRCA",14,0,2273,0.00615926088869336,0
"75","ABCA4","CELLLINE",6,1,2273,0.00263968323801144,0.166666666666667
"76","ABCA4","CESC",1,0,2273,0.00043994720633524,0
